"","date","AMZN.ret","TSLA.ret","IBM.ret","port.ret"
"1",Jan 2011,-0.0575555611111112,-0.0950055987610063,0.103842978040897,-0.0162393939437403
"2",Feb 2011,0.0215161166087958,-0.00871373443983414,0.00321570679881678,0.00533936298925948
"3",Mar 2011,0.039471477155637,0.161573928906401,0.00735120933546307,0.0694655384658338
"4",Apr 2011,0.0870482016585743,-0.00540540540540535,0.0460535200894017,0.0425654387808569
"5",May 2011,0.00449417296863452,0.0920289492753623,-0.00524390658334217,0.0304264052202182
"6",Jun 2011,0.0396563268121783,-0.0335102864469239,0.0155093903201133,0.0072184768951226
"7",Jul 2011,0.0881705636419736,-0.0329556825594124,0.0600408468605731,0.0384185759810448
"8",Aug 2011,-0.0327611354887446,-0.121760738374157,-0.0505436501631985,-0.0683551746753667
"9",Sep 2011,0.00464619253163945,-0.0141471705739692,0.0172183834710709,0.00257246847624704
"10",Oct 2011,-0.0125792029335282,0.204182132192789,0.0558128234321462,0.0824719175638024
"11",Nov 2011,-0.0993864572944231,0.114742965109194,0.0223457581702202,0.0125674219949971
"12",Dec 2011,-0.0997971173674129,-0.127672655609489,-0.021914696665742,-0.0831281565475481
"13",Jan 2012,0.12328131288453,0.0178571784963997,0.0474220107126346,0.0628535006978547
"14",Feb 2012,-0.0758588759940457,0.149294805641555,0.0254210877458987,0.0329523391311359
"15",Mar 2012,0.126996453592337,0.114636396288536,0.0605903737315667,0.10074107453748
"16",Apr 2012,0.145128634268151,-0.110365219636669,-0.00752438111470866,0.00907967783892427
"17",May 2012,-0.0818887041454602,-0.109568393915835,-0.064573499259387,-0.0853435324402273
"18",Jun 2012,0.0725189127327246,0.060678,0.0138930100850121,0.0490299742725789
"19",Jul 2012,0.0216772361284721,-0.123681715446414,0.0020454253953992,-0.0333196846408474
"20",Aug 2012,0.0641663129339951,0.0401167031363967,-0.00152101655592352,0.0342539998381561
"21",Sep 2012,0.0243686426170115,0.0266480014025245,0.0646649138700439,0.0385605192965267
"22",Oct 2012,-0.0842639486086519,-0.0392760232487696,-0.0622798683229372,-0.0619399467267862
"23",Nov 2012,0.0822706173827585,0.202275193824216,-0.0186510478483558,0.0886315877862062
"24",Dec 2012,-0.00468164247552105,0.00147838557066815,0.00778659172212937,0.00152777827242549
"25",Jan 2013,0.0583170777358208,0.10746971087894,0.0601410760107273,0.0753092882084962
"26",Feb 2013,-0.00463280979284364,-0.0714475111408964,-0.00686782551378395,-0.0276493821491747
"27",Mar 2013,0.00840050362283074,0.0878552059801778,0.0620921310286884,0.052782613543899
"28",Apr 2013,-0.0475814945244284,0.424914315780267,-0.0504452533560739,0.108962522633255
"29",May 2013,0.0606359643878174,0.810705656206496,0.0318700144756816,0.301070545023332
"30",Jun 2013,0.0315378514916262,0.0981996604296305,-0.0812899119213233,0.0161491999999778
"31",Jul 2013,0.0847347719778548,0.250745135518395,0.0205639151667232,0.118681274220991
"32",Aug 2013,-0.0671933800305645,0.258564203593716,-0.0608019378471418,0.0435229619053366
"33",Sep 2013,0.112677068690128,0.144201153846154,0.0159652020510979,0.0909478081957934
"34",Oct 2013,0.164374301223086,-0.172880973596757,-0.0322389803791486,-0.0135818842509399
"35",Nov 2013,0.0812844987536316,-0.204201591794403,0.00800670182223961,-0.0383034637395105
"36",Dec 2013,0.0131345309325559,0.181882418148039,0.0439118376952987,0.0796429289252979
